Business Year,State,Insurer ID,Price Gap,Price Gap (Previous Year),Market Share (%),Market Share (%) (Previous Year),Medicaid Expansion Impact,Medicaid Expansion Impact (Previous Year),Plan Count,Plan Count (Previous Year),Market Exit,predicted_risk,risk_level
2024,Georgia,64357.0,-11,-11.0,0.009771987,0.007113219,0.0,0.0,12,12.0,1,0.83,High
2023,Georgia,68806.0,-11,,0.003556609,,0.0,,6,,0,0.6321208556341793,High
2024,Georgia,68806.0,-11,-11.0,0.004885993,0.003556609,0.0,0.0,6,6.0,1,0.89,High
2023,Georgia,70893.0,-11,,0.183165382,,0.0,,309,,0,0.6321208556341793,High
2024,Georgia,70893.0,-11,-11.0,0.131107492,0.183165382,0.0,0.0,161,309.0,1,0.87,High
2023,Georgia,82824.0,-11,,0.071132187,,0.0,,120,,0,0.6321208556341793,High
2024,Georgia,82824.0,-11,-11.0,0.042345277,0.071132187,0.0,0.0,52,120.0,1,0.95,High
2023,Georgia,83502.0,-11,,0.004742146,,0.0,,8,,0,0.6321208556341793,High
2024,Georgia,83502.0,-11,-11.0,0.006514658,0.004742146,0.0,0.0,8,8.0,1,0.86,High
2023,Georgia,83761.0,-11,,0.111440427,,0.0,,188,,0,0.6321208556341793,High
2024,Georgia,83761.0,-11,-11.0,0.179153094,0.111440427,0.0,0.0,220,188.0,1,0.93,High
2023,Georgia,86637.0,-11,,0.004149378,,0.0,,7,,0,0.6321208556341793,High
2024,Georgia,86637.0,-11,-11.0,0.002442997,0.004149378,0.0,0.0,3,7.0,1,0.89,High
2023,Georgia,89942.0,-11,,0.099585062,,0.0,,168,,0,0.6321208556341793,High
2024,Georgia,89942.0,-11,-11.0,0.120521173,0.099585062,0.0,0.0,148,168.0,1,0.98,High
2023,Georgia,90617.0,-11,,0.0634262,,0.0,,107,,1,0.6321208556341793,High
2025,Georgia,,-11,,,,0.0,,0,,0,0.6321208556341793,High
2026,Georgia,,-11,,,,0.0,,0,,0,0.6321208556341793,High
2023,Hawaii,10046.0,-8,,0.071428571,,5.311102983,,8,,0,0.6321208556341793,High
2024,Hawaii,10046.0,-8,-8.0,0.082474227,0.071428571,5.311102983,5.311102983,8,8.0,0,0.0,Low
2025,Hawaii,10046.0,-8,-8.0,0.081632653,0.082474227,5.311102983,5.311102983,8,8.0,0,0.0,Low
2023,Hawaii,18350.0,-8,,0.348214286,,5.311102983,,39,,0,0.6321208556341793,High
2024,Hawaii,18350.0,-8,-8.0,0.402061856,0.348214286,5.311102983,5.311102983,39,39.0,0,0.0,Low
2025,Hawaii,18350.0,-8,-8.0,0.397959184,0.402061856,5.311102983,5.311102983,39,39.0,0,0.0,Low
2025,Hawaii,31358.0,-8,,0.040816327,,5.311102983,,4,,0,0.6321208556341793,High
2023,Hawaii,46082.0,-8,,0.071428571,,5.311102983,,8,,0,0.6321208556341793,High
2024,Hawaii,46082.0,-8,-8.0,0.082474227,0.071428571,5.311102983,5.311102983,8,8.0,0,0.0,Low
2025,Hawaii,46082.0,-8,-8.0,0.081632653,0.082474227,5.311102983,5.311102983,8,8.0,0,0.0,Low
2023,Hawaii,60612.0,-8,,0.508928571,,5.311102983,,57,,0,0.6321208556341793,High
2024,Hawaii,60612.0,-8,-8.0,0.432989691,0.508928571,5.311102983,5.311102983,42,57.0,0,0.0,Low
2025,Hawaii,60612.0,-8,-8.0,0.397959184,0.432989691,5.311102983,5.311102983,39,42.0,0,0.0,Low
2026,Hawaii,,-8,,,,5.311102983,,0,,0,0.6321208556341793,High
2023,Idaho,,-6,,,,0.75614494,,0,,1,0.6321208556341793,High
2024,Idaho,,-6,,,,0.75614494,,0,,1,0.6321208556341793,High
2025,Idaho,,-6,,,,0.75614494,,0,,0,0.6321208556341793,High
2026,Idaho,,-6,,,,0.75614494,,0,,0,0.6321208556341793,High
2023,Illinois,11574.0,-11,,0.076335878,,1.747045506,,150,,0,0.6321208556341793,High
2024,Illinois,11574.0,-11,-11.0,0.048803828,0.076335878,1.747045506,1.747045506,102,150.0,0,0.0,Low
2025,Illinois,11574.0,-11,-11.0,0.038331454,0.048803828,1.747045506,1.747045506,68,102.0,0,0.0,Low
2024,Illinois,13947.0,-11,,0.000956938,,1.747045506,,2,,0,0.6321208556341793,High
2025,Illinois,13947.0,-11,-11.0,0.000563698,0.000956938,1.747045506,1.747045506,1,2.0,0,0.026388619979957274,Low
2023,Illinois,18715.0,-11,,0.001017812,,1.747045506,,2,,0,0.6321208556341793,High
2024,Illinois,18715.0,-11,-11.0,0.000956938,0.001017812,1.747045506,1.747045506,2,2.0,1,0.5469604154208405,Medium
2023,Illinois,20129.0,-11,,0.035114504,,1.747045506,,69,,0,0.6321208556341793,High
2024,Illinois,20129.0,-11,-11.0,0.024401914,0.035114504,1.747045506,1.747045506,51,69.0,0,0.04,Low
2025,Illinois,20129.0,-11,-11.0,0.038895152,0.024401914,1.747045506,1.747045506,69,51.0,0,0.01,Low
2024,Illinois,20545.0,-11,,0.001913876,,1.747045506,,4,,0,0.6321208556341793,High
2025,Illinois,20545.0,-11,-11.0,0.002254791,0.001913876,1.747045506,1.747045506,4,4.0,0,0.029065894279507606,Low
2023,Illinois,27833.0,-11,,0.096183206,,1.747045506,,189,,0,0.6321208556341793,High
2024,Illinois,27833.0,-11,-11.0,0.061244019,0.096183206,1.747045506,1.747045506,128,189.0,0,0.01,Low
2025,Illinois,27833.0,-11,-11.0,0.046786922,0.061244019,1.747045506,1.747045506,83,128.0,0,0.0,Low
2023,Illinois,32355.0,-11,,0.016793893,,1.747045506,,33,,0,0.6321208556341793,High
2024,Illinois,32355.0,-11,-11.0,0.019138756,0.016793893,1.747045506,1.747045506,40,33.0,0,0.0,Low
2025,Illinois,32355.0,-11,-11.0,0.022547914,0.019138756,1.747045506,1.747045506,40,40.0,0,0.0,Low
2023,Illinois,36096.0,-11,,0.490585242,,1.747045506,,964,,0,0.6321208556341793,High
2024,Illinois,36096.0,-11,-11.0,0.501435407,0.490585242,1.747045506,1.747045506,1048,964.0,0,0.0,Low
2025,Illinois,36096.0,-11,-11.0,0.604847802,0.501435407,1.747045506,1.747045506,1073,1048.0,0,0.0,Low
2023,Illinois,42529.0,-11,,0.045292621,,1.747045506,,89,,0,0.6321208556341793,High
2024,Illinois,42529.0,-11,-11.0,0.03923445,0.045292621,1.747045506,1.747045506,82,89.0,0,0.0,Low
2025,Illinois,42529.0,-11,-11.0,0.037767756,0.03923445,1.747045506,1.747045506,67,82.0,0,0.01,Low
2023,Illinois,43241.0,-11,,0.001017812,,1.747045506,,2,,0,0.6321208556341793,High
2024,Illinois,43241.0,-11,-11.0,0.000956938,0.001017812,1.747045506,1.747045506,2,2.0,0,0.5469604154208405,Medium
2025,Illinois,43241.0,-11,-11.0,0.001127396,0.000956938,1.747045506,1.747045506,2,2.0,0,0.026388619979957274,Low
2023,Illinois,45634.0,-11,,0.004071247,,1.747045506,,8,,0,0.6321208556341793,High
2024,Illinois,45634.0,-11,-11.0,0.003827751,0.004071247,1.747045506,1.747045506,8,8.0,0,0.027357285007984428,Low
2025,Illinois,45634.0,-11,-11.0,0.004509583,0.003827751,1.747045506,1.747045506,8,8.0,0,0.01,Low
2023,Illinois,52129.0,-11,,0.000508906,,1.747045506,,1,,0,0.6321208556341793,High
2024,Illinois,52129.0,-11,-11.0,0.000478469,0.000508906,1.747045506,1.747045506,1,1.0,1,0.84,High
2023,Illinois,53882.0,-11,,0.088549618,,1.747045506,,174,,0,0.6321208556341793,High
2024,Illinois,53882.0,-11,-11.0,0.035406699,0.088549618,1.747045506,1.747045506,74,174.0,0,0.01,Low
2025,Illinois,53882.0,-11,-11.0,0.016910936,0.035406699,1.747045506,1.747045506,30,74.0,0,0.02,Low
2023,Illinois,54322.0,-11,,0.02086514,,1.747045506,,41,,0,0.6321208556341793,High
2024,Illinois,54322.0,-11,-11.0,0.013875598,0.02086514,1.747045506,1.747045506,29,41.0,0,0.006035552877372693,Low
2025,Illinois,54322.0,-11,-11.0,0.016347238,0.013875598,1.747045506,1.747045506,29,29.0,0,0.0,Low
2023,Illinois,60600.0,-11,,0.005597964,,1.747045506,,11,,0,0.6321208556341793,High
2024,Illinois,60600.0,-11,-11.0,0.005263158,0.005597964,1.747045506,1.747045506,11,11.0,0,0.06362086212601484,Low
2025,Illinois,60600.0,-11,-11.0,0.006764374,0.005263158,1.747045506,1.747045506,12,11.0,0,0.13014855167881856,Low
2023,Illinois,65280.0,-11,,0.031552163,,1.747045506,,62,,0,0.6321208556341793,High
2024,Illinois,65280.0,-11,-11.0,0.025837321,0.031552163,1.747045506,1.747045506,54,62.0,1,0.63,High
2023,Illinois,68303.0,-11,,0.003053435,,1.747045506,,6,,0,0.6321208556341793,High
2024,Illinois,68303.0,-11,-11.0,0.002870813,0.003053435,1.747045506,1.747045506,6,6.0,0,0.0,Low
2025,Illinois,68303.0,-11,-11.0,0.003382187,0.002870813,1.747045506,1.747045506,6,6.0,0,0.0,Low
2024,Illinois,72547.0,-11,,0.022966507,,1.747045506,,48,,0,0.6321208556341793,High
2025,Illinois,72547.0,-11,-11.0,0.006200676,0.022966507,1.747045506,1.747045506,11,48.0,0,0.01,Low
2023,Illinois,80839.0,-11,,0.005089059,,1.747045506,,10,,0,0.6321208556341793,High
2024,Illinois,80839.0,-11,-11.0,0.004784689,0.005089059,1.747045506,1.747045506,10,10.0,1,0.587154999344358,Medium
2023,Illinois,83350.0,-11,,0.000508906,,1.747045506,,1,,0,0.6321208556341793,High
2024,Illinois,83350.0,-11,-11.0,0.000478469,0.000508906,1.747045506,1.747045506,1,1.0,1,0.84,High
2023,Illinois,84033.0,-11,,0.001017812,,1.747045506,,2,,0,0.6321208556341793,High
2024,Illinois,84033.0,-11,-11.0,0.000956938,0.001017812,1.747045506,1.747045506,2,2.0,0,0.5469604154208405,Medium
2025,Illinois,84033.0,-11,-11.0,0.001127396,0.000956938,1.747045506,1.747045506,2,2.0,0,0.026388619979957274,Low
2023,Illinois,85099.0,-11,,0.005089059,,1.747045506,,10,,0,0.6321208556341793,High
2024,Illinois,85099.0,-11,-11.0,0.004784689,0.005089059,1.747045506,1.747045506,10,10.0,0,0.587154999344358,Medium
2025,Illinois,85099.0,-11,-11.0,0.004509583,0.004784689,1.747045506,1.747045506,8,10.0,0,0.20686899231955508,Low
2023,Illinois,85773.0,-11,,0.044783715,,1.747045506,,88,,0,0.6321208556341793,High
2024,Illinois,85773.0,-11,-11.0,0.102392344,0.044783715,1.747045506,1.747045506,214,88.0,0,0.0,Low
2025,Illinois,85773.0,-11,-11.0,0.099210823,0.102392344,1.747045506,1.747045506,176,214.0,0,0.01,Low
2023,Illinois,87304.0,-11,,0.002544529,,1.747045506,,5,,0,0.6321208556341793,High
2024,Illinois,87304.0,-11,-11.0,0.002392344,0.002544529,1.747045506,1.747045506,5,5.0,0,0.0,Low
2025,Illinois,87304.0,-11,-11.0,0.001127396,0.002392344,1.747045506,1.747045506,2,5.0,0,0.01,Low
2024,Illinois,90067.0,-11,,0.005741627,,1.747045506,,12,,0,0.6321208556341793,High
2025,Illinois,90067.0,-11,-11.0,0.006764374,0.005741627,1.747045506,1.747045506,12,12.0,0,0.047197682838522804,Low
2023,Illinois,99129.0,-11,,0.024427481,,1.747045506,,48,,0,0.6321208556341793,High
2024,Illinois,99129.0,-11,-11.0,0.068899522,0.024427481,1.747045506,1.747045506,144,48.0,0,0.01,Low
2025,Illinois,99129.0,-11,-11.0,0.040022548,0.068899522,1.747045506,1.747045506,71,144.0,0,0.0,Low
2026,Illinois,,-11,,,,1.747045506,,0,,0,0.6321208556341793,High
2024,Indiana,16845.0,-1,,0.022018349,,1.441509854,,12,,0,0.6321208556341793,High
2025,Indiana,16845.0,-1,-1.0,0.022099448,0.022018349,1.441509854,1.441509854,12,12.0,0,0.005995849518437695,Low
2023,Indiana,17575.0,-1,,0.237547893,,1.441509854,,124,,0,0.6321208556341793,High
2024,Indiana,17575.0,-1,-1.0,0.144954128,0.237547893,1.441509854,1.441509854,79,124.0,0,0.04,Low
2025,Indiana,17575.0,-1,-1.0,0.145488029,0.144954128,1.441509854,1.441509854,79,79.0,0,0.01,Low
2023,Indiana,28856.0,-1,,0.030651341,,1.441509854,,16,,0,0.6321208556341793,High
2024,Indiana,28856.0,-1,-1.0,0.033027523,0.030651341,1.441509854,1.441509854,18,16.0,0,0.02,Low
2025,Indiana,28856.0,-1,-1.0,0.033149171,0.033027523,1.441509854,1.441509854,18,18.0,0,0.01,Low
2023,Indiana,33086.0,-1,,0.005747126,,1.441509854,,3,,0,0.6321208556341793,High
2024,Indiana,33086.0,-1,-1.0,0.005504587,0.005747126,1.441509854,1.441509854,3,3.0,0,0.0,Low
2025,Indiana,33086.0,-1,-1.0,0.005524862,0.005504587,1.441509854,1.441509854,3,3.0,0,0.0,Low
2025,Indiana,35065.0,-1,,0.152854512,,1.441509854,,83,,0,0.6321208556341793,High
2023,Indiana,35755.0,-1,,0.091954023,,1.441509854,,48,,0,0.6321208556341793,High
2024,Indiana,35755.0,-1,-1.0,0.067889908,0.091954023,1.441509854,1.441509854,37,48.0,1,0.57,Medium
2023,Indiana,43433.0,-1,,0.01532567,,1.441509854,,8,,0,0.6321208556341793,High
2024,Indiana,43433.0,-1,-1.0,0.014678899,0.01532567,1.441509854,1.441509854,8,8.0,0,0.0,Low
2025,Indiana,43433.0,-1,-1.0,0.014732965,0.014678899,1.441509854,1.441509854,8,8.0,0,0.0,Low
2023,Indiana,54192.0,-1,,0.134099617,,1.441509854,,70,,0,0.6321208556341793,High
2024,Indiana,54192.0,-1,-1.0,0.209174312,0.134099617,1.441509854,1.441509854,114,70.0,0,0.01,Low
2025,Indiana,54192.0,-1,-1.0,0.211786372,0.209174312,1.441509854,1.441509854,115,114.0,0,0.03,Low
2023,Indiana,57874.0,-1,,0.003831418,,1.441509854,,2,,0,0.6321208556341793,High
2024,Indiana,57874.0,-1,-1.0,0.003669725,0.003831418,1.441509854,1.441509854,2,2.0,0,0.0,Low
2025,Indiana,57874.0,-1,-1.0,0.003683241,0.003669725,1.441509854,1.441509854,2,2.0,0,0.0,Low
2023,Indiana,59560.0,-1,,0.019157088,,1.441509854,,10,,0,0.6321208556341793,High
2024,Indiana,59560.0,-1,-1.0,0.018348624,0.019157088,1.441509854,1.441509854,10,10.0,0,0.0,Low
2025,Indiana,59560.0,-1,-1.0,0.018416206,0.018348624,1.441509854,1.441509854,10,10.0,0,0.0,Low
2023,Indiana,69051.0,-1,,0.001915709,,1.441509854,,1,,0,0.6321208556341793,High
2024,Indiana,69051.0,-1,-1.0,0.001834862,0.001915709,1.441509854,1.441509854,1,1.0,0,0.0,Low
2025,Indiana,69051.0,-1,-1.0,0.001841621,0.001834862,1.441509854,1.441509854,1,1.0,0,0.0,Low
2025,Indiana,72850.0,-1,,0.151012891,,1.441509854,,82,,0,0.6321208556341793,High
2023,Indiana,76179.0,-1,,0.279693487,,1.441509854,,146,,0,0.6321208556341793,High
2024,Indiana,76179.0,-1,-1.0,0.24587156,0.279693487,1.441509854,1.441509854,134,146.0,1,0.61,High
2023,Indiana,83557.0,-1,,0.01532567,,1.441509854,,8,,0,0.6321208556341793,High
2024,Indiana,83557.0,-1,-1.0,0.014678899,0.01532567,1.441509854,1.441509854,8,8.0,0,0.0,Low
2025,Indiana,83557.0,-1,-1.0,0.014732965,0.014678899,1.441509854,1.441509854,8,8.0,0,0.0,Low
2023,Indiana,87417.0,-1,,0.007662835,,1.441509854,,4,,0,0.6321208556341793,High
2024,Indiana,87417.0,-1,-1.0,0.00733945,0.007662835,1.441509854,1.441509854,4,4.0,0,0.0,Low
2025,Indiana,87417.0,-1,-1.0,0.011049724,0.00733945,1.441509854,1.441509854,6,4.0,0,0.009065894279507603,Low
2023,Indiana,94419.0,-1,,0.157088123,,1.441509854,,82,,0,0.6321208556341793,High
2024,Indiana,94419.0,-1,-1.0,0.11559633,0.157088123,1.441509854,1.441509854,63,82.0,0,0.01,Low
2025,Indiana,94419.0,-1,-1.0,0.075506446,0.11559633,1.441509854,1.441509854,41,63.0,0,0.04,Low
2024,Indiana,96992.0,-1,,0.088073394,,1.441509854,,48,,0,0.6321208556341793,High
2025,Indiana,96992.0,-1,-1.0,0.130755064,0.088073394,1.441509854,1.441509854,71,48.0,0,0.23,Low
2024,Indiana,99791.0,-1,,0.00733945,,1.441509854,,4,,0,0.6321208556341793,High
2025,Indiana,99791.0,-1,-1.0,0.007366483,0.00733945,1.441509854,1.441509854,4,4.0,0,0.009065894279507603,Low
2026,Indiana,,-1,,,,1.441509854,,0,,0,0.6321208556341793,High
2023,Iowa,25896.0,-4,,0.157458564,,1.310941074,,57,,0,0.6321208556341793,High
2024,Iowa,25896.0,-4,-4.0,0.124726477,0.157458564,1.310941074,1.310941074,57,57.0,0,0.0,Low
2025,Iowa,25896.0,-4,-4.0,0.090573013,0.124726477,1.310941074,1.310941074,49,57.0,0,0.0,Low
2023,Iowa,41482.0,-4,,0.002762431,,1.310941074,,1,,1,0.6321208556341793,High
2023,Iowa,45819.0,-4,,0.220994475,,1.310941074,,80,,0,0.6321208556341793,High
2024,Iowa,45819.0,-4,-4.0,0.284463895,0.220994475,1.310941074,1.310941074,130,80.0,0,0.0,Low
2025,Iowa,45819.0,-4,-4.0,0.184842884,0.284463895,1.310941074,1.310941074,100,130.0,0,0.0,Low
2025,Iowa,48286.0,-4,,0.153419593,,1.310941074,,83,,0,0.6321208556341793,High
2023,Iowa,50730.0,-4,,0.022099448,,1.310941074,,8,,0,0.6321208556341793,High
2024,Iowa,50730.0,-4,-4.0,0.01750547,0.022099448,1.310941074,1.310941074,8,8.0,0,0.0,Low
2025,Iowa,50730.0,-4,-4.0,0.014787431,0.01750547,1.310941074,1.310941074,8,8.0,0,0.0,Low
2025,Iowa,56610.0,-4,,0.11090573,,1.310941074,,60,,0,0.6321208556341793,High
2023,Iowa,61284.0,-4,,0.005524862,,1.310941074,,2,,0,0.6321208556341793,High
2024,Iowa,61284.0,-4,-4.0,0.004376368,0.005524862,1.310941074,1.310941074,2,2.0,0,0.0,Low
2025,Iowa,61284.0,-4,-4.0,0.003696858,0.004376368,1.310941074,1.310941074,2,2.0,0,0.0,Low
2023,Iowa,63366.0,-4,,0.035911602,,1.310941074,,13,,0,0.6321208556341793,High
2024,Iowa,63366.0,-4,-4.0,0.028446389,0.035911602,1.310941074,1.310941074,13,13.0,0,0.01,Low
2025,Iowa,63366.0,-4,-4.0,0.011090573,0.028446389,1.310941074,1.310941074,6,13.0,0,0.01,Low
2023,Iowa,71051.0,-4,,0.022099448,,1.310941074,,8,,0,0.6321208556341793,High
2024,Iowa,71051.0,-4,-4.0,0.01750547,0.022099448,1.310941074,1.310941074,8,8.0,0,0.0,Low
2025,Iowa,71051.0,-4,-4.0,0.014787431,0.01750547,1.310941074,1.310941074,8,8.0,0,0.0,Low
2023,Iowa,93078.0,-4,,0.533149171,,1.310941074,,193,,0,0.6321208556341793,High
2024,Iowa,93078.0,-4,-4.0,0.52297593,0.533149171,1.310941074,1.310941074,239,193.0,0,0.0,Low
2025,Iowa,93078.0,-4,-4.0,0.415896488,0.52297593,1.310941074,1.310941074,225,239.0,0,0.0,Low
2026,Iowa,,-4,,,,1.310941074,,0,,0,0.6321208556341793,High
2023,Kansas,11339.0,-20,,0.003034901,,0.0,,2,,0,0.6321208556341793,High
2024,Kansas,11339.0,-20,-20.0,0.003937008,0.003034901,0.0,0.0,2,2.0,0,0.02,Low
2025,Kansas,11339.0,-20,-20.0,0.004608295,0.003937008,0.0,0.0,2,2.0,0,0.03,Low
2023,Kansas,18558.0,-20,,0.078907436,,0.0,,52,,0,0.6321208556341793,High
2024,Kansas,18558.0,-20,-20.0,0.094488189,0.078907436,0.0,0.0,48,52.0,0,0.08,Low
2025,Kansas,18558.0,-20,-20.0,0.103686636,0.094488189,0.0,0.0,45,48.0,0,0.02,Low
2023,Kansas,25268.0,-20,,0.006069803,,0.0,,4,,0,0.6321208556341793,High
2024,Kansas,25268.0,-20,-20.0,0.007874016,0.006069803,0.0,0.0,4,4.0,0,0.02,Low
2025,Kansas,25268.0,-20,-20.0,0.013824885,0.007874016,0.0,0.0,6,4.0,0,0.01,Low
2023,Kansas,32542.0,-20,,0.072837633,,0.0,,48,,0,0.6321208556341793,High
2024,Kansas,32542.0,-20,-20.0,0.072834646,0.072837633,0.0,0.0,37,48.0,1,0.7,High
2023,Kansas,34368.0,-20,,0.215477997,,0.0,,142,,0,0.6321208556341793,High
2024,Kansas,34368.0,-20,-20.0,0.236220472,0.215477997,0.0,0.0,120,142.0,0,0.03,Low
2025,Kansas,34368.0,-20,-20.0,0.19124424,0.236220472,0.0,0.0,83,120.0,0,0.01,Low
2023,Kansas,39520.0,-20,,0.094081942,,0.0,,62,,0,0.6321208556341793,High
2024,Kansas,39520.0,-20,-20.0,0.118110236,0.094081942,0.0,0.0,60,62.0,0,0.0,Low
2025,Kansas,39520.0,-20,-20.0,0.103686636,0.118110236,0.0,0.0,45,60.0,0,0.0,Low
2023,Kansas,43490.0,-20,,0.115326252,,0.0,,76,,0,0.6321208556341793,High
2024,Kansas,43490.0,-20,-20.0,0.12007874,0.115326252,0.0,0.0,61,76.0,0,0.0,Low
2025,Kansas,43490.0,-20,-20.0,0.105990783,0.12007874,0.0,0.0,46,61.0,0,0.0,Low
2023,Kansas,61779.0,-20,,0.012139605,,0.0,,8,,0,0.6321208556341793,High
2024,Kansas,61779.0,-20,-20.0,0.015748031,0.012139605,0.0,0.0,8,8.0,0,0.0,Low
2025,Kansas,61779.0,-20,-20.0,0.01843318,0.015748031,0.0,0.0,8,8.0,0,0.0,Low
2023,Kansas,63790.0,-20,,0.012139605,,0.0,,8,,0,0.6321208556341793,High
2024,Kansas,63790.0,-20,-20.0,0.015748031,0.012139605,0.0,0.0,8,8.0,0,0.0,Low
2025,Kansas,63790.0,-20,-20.0,0.01843318,0.015748031,0.0,0.0,8,8.0,0,0.0,Low
2023,Kansas,76763.0,-20,,0.197268589,,0.0,,130,,1,0.6321208556341793,High
2024,Kansas,84600.0,-20,,0.094488189,,0.0,,48,,0,0.6321208556341793,High
2025,Kansas,84600.0,-20,-20.0,0.16359447,0.094488189,0.0,0.0,71,48.0,0,0.02,Low
2023,Kansas,93384.0,-20,,0.001517451,,0.0,,1,,1,0.6321208556341793,High
2023,Kansas,94248.0,-20,,0.069802731,,0.0,,46,,0,0.6321208556341793,High
2024,Kansas,94248.0,-20,-20.0,0.084645669,0.069802731,0.0,0.0,43,46.0,0,0.23,Low
2025,Kansas,94248.0,-20,-20.0,0.089861751,0.084645669,0.0,0.0,39,43.0,0,0.0,Low
2023,Kansas,94968.0,-20,,0.112291351,,0.0,,74,,0,0.6321208556341793,High
2024,Kansas,94968.0,-20,-20.0,0.124015748,0.112291351,0.0,0.0,63,74.0,0,0.0,Low
2025,Kansas,94968.0,-20,-20.0,0.17281106,0.124015748,0.0,0.0,75,63.0,0,0.0,Low
2023,Kansas,95038.0,-20,,0.009104704,,0.0,,6,,0,0.6321208556341793,High
2024,Kansas,95038.0,-20,-20.0,0.011811024,0.009104704,0.0,0.0,6,6.0,0,0.01,Low
2025,Kansas,95038.0,-20,-20.0,0.013824885,0.011811024,0.0,0.0,6,6.0,0,0.01,Low
2026,Kansas,,-20,,,,0.0,,0,,0,0.6321208556341793,High
2023,Kentucky,,-13,,,,4.765399388,,0,,1,0.6321208556341793,High
2024,Kentucky,,-13,,,,4.765399388,,0,,1,0.6321208556341793,High
2025,Kentucky,,-13,,,,4.765399388,,0,,0,0.6321208556341793,High
2026,Kentucky,,-13,,,,4.765399388,,0,,0,0.6321208556341793,High
2023,Louisiana,11904.0,-9,,0.008486563,,2.533471675,,6,,0,0.6321208556341793,High
2024,Louisiana,11904.0,-9,-9.0,0.010714286,0.008486563,2.533471675,2.533471675,6,6.0,0,0.0,Low
2025,Louisiana,11904.0,-9,-9.0,0.009287926,0.010714286,2.533471675,2.533471675,6,6.0,0,0.01,Low
2023,Louisiana,18802.0,-9,,0.004243281,,2.533471675,,3,,0,0.6321208556341793,High
2024,Louisiana,18802.0,-9,-9.0,0.005357143,0.004243281,2.533471675,2.533471675,3,3.0,0,0.0,Low
2025,Louisiana,18802.0,-9,-9.0,0.004643963,0.005357143,2.533471675,2.533471675,3,3.0,0,0.0,Low
2023,Louisiana,19636.0,-9,,0.280056577,,2.533471675,,198,,0,0.6321208556341793,High
2024,Louisiana,19636.0,-9,-9.0,0.291071429,0.280056577,2.533471675,2.533471675,163,198.0,0,0.01,Low
2025,Louisiana,19636.0,-9,-9.0,0.291021672,0.291071429,2.533471675,2.533471675,188,163.0,0,0.01,Low
2023,Louisiana,28419.0,-9,,0.011315417,,2.533471675,,8,,0,0.6321208556341793,High
2024,Louisiana,28419.0,-9,-9.0,0.014285714,0.011315417,2.533471675,2.533471675,8,8.0,0,0.0,Low
2025,Louisiana,28419.0,-9,-9.0,0.012383901,0.014285714,2.533471675,2.533471675,8,8.0,0,0.0,Low
2023,Louisiana,44965.0,-9,,0.002828854,,2.533471675,,2,,0,0.6321208556341793,High
2024,Louisiana,44965.0,-9,-9.0,0.003571429,0.002828854,2.533471675,2.533471675,2,2.0,0,0.009065894279507603,Low
2025,Louisiana,44965.0,-9,-9.0,0.003095975,0.003571429,2.533471675,2.533471675,2,2.0,0,0.009065894279507603,Low
2023,Louisiana,61604.0,-9,,0.17397454,,2.533471675,,123,,1,0.6321208556341793,High
2023,Louisiana,67243.0,-9,,0.053748232,,2.533471675,,38,,1,0.6321208556341793,High
2023,Louisiana,69842.0,-9,,0.089108911,,2.533471675,,63,,0,0.6321208556341793,High
2024,Louisiana,69842.0,-9,-9.0,0.1125,0.089108911,2.533471675,2.533471675,63,63.0,0,0.01,Low
2025,Louisiana,69842.0,-9,-9.0,0.10371517,0.1125,2.533471675,2.533471675,67,63.0,0,0.0,Low
2023,Louisiana,75409.0,-9,,0.001414427,,2.533471675,,1,,1,0.6321208556341793,High
2023,Louisiana,78461.0,-9,,0.011315417,,2.533471675,,8,,0,0.6321208556341793,High
2024,Louisiana,78461.0,-9,-9.0,0.014285714,0.011315417,2.533471675,2.533471675,8,8.0,0,0.0,Low
2025,Louisiana,78461.0,-9,-9.0,0.012383901,0.014285714,2.533471675,2.533471675,8,8.0,0,0.0,Low
2023,Louisiana,87390.0,-9,,0.008486563,,2.533471675,,6,,0,0.6321208556341793,High
2024,Louisiana,87390.0,-9,-9.0,0.010714286,0.008486563,2.533471675,2.533471675,6,6.0,0,0.0,Low
2025,Louisiana,87390.0,-9,-9.0,0.009287926,0.010714286,2.533471675,2.533471675,6,6.0,0,0.01,Low
2024,Louisiana,90787.0,-9,,0.2,,2.533471675,,112,,0,0.6321208556341793,High
2025,Louisiana,90787.0,-9,-9.0,0.128482972,0.2,2.533471675,2.533471675,83,112.0,0,0.0,Low
2023,Louisiana,97176.0,-9,,0.070721358,,2.533471675,,50,,0,0.6321208556341793,High
2024,Louisiana,97176.0,-9,-9.0,0.096428571,0.070721358,2.533471675,2.533471675,54,50.0,0,0.0,Low
2025,Louisiana,97176.0,-9,-9.0,0.077399381,0.096428571,2.533471675,2.533471675,50,54.0,0,0.0,Low
2023,Louisiana,98780.0,-9,,0.284299859,,2.533471675,,201,,0,0.6321208556341793,High
2024,Louisiana,98780.0,-9,-9.0,0.241071429,0.284299859,2.533471675,2.533471675,135,201.0,0,0.01,Low
2025,Louisiana,98780.0,-9,-9.0,0.348297214,0.241071429,2.533471675,2.533471675,225,135.0,0,0.0,Low
2026,Louisiana,,-9,,,,2.533471675,,0,,0,0.6321208556341793,High
2023,Maine,,-13,,,,1.494913263,,0,,1,0.6321208556341793,High
2024,Maine,,-13,,,,1.494913263,,0,,1,0.6321208556341793,High
