State,Notes,Total beneficiaries,Comprehensive MCO (with or without MLTSS),PCCM,PCCM entity,MLTSS only,BHO (PIHP and/or PAHP),Dental,Transportation,PACE,Other,Year
Oregon8,"Oregon’s enrollment in comprehensive MCOs includes beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5.","74,088","43,012",--,--,--,--,--,--,"1,190",--,2017
South Dakota,,"12,086",--,0,--,--,--,--,--,--,--,2017
New Mexico,,"41,822","41,121",--,--,--,--,--,--,701,--,2017
Delaware,,"30,620","5,755",--,--,--,--,--,--,216,--,2017
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017
Maryland,,"139,698",0,--,--,--,--,--,--,97,--,2017
Wisconsin,,"56,045","16,445",--,--,"39,040",4,--,--,556,0,2017
California,,"1,420,937","943,716",--,--,--,0,"53,255",--,"5,424",349,2017
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2017
District of Columbia,,"21,052",123,--,--,--,--,--,"20,929",--,--,2017
Idaho,,"46,342","2,290","20,638",--,--,"24,391","24,472","26,741",--,--,2017
Pennsylvania,,"456,314","7,957",--,--,--,"274,855",--,"75,251","5,850",57,2017
Nebraska,,"34,702","34,237",--,--,--,--,0,--,141,--,2017
Tennessee9,Tennessee’s enrollment in comprehensive MCOs includes 329 dually eligible beneficiaries who enrolled in an MCO plus Magellan Health Services for pharmacy benefits and 329 dually eligible beneficiaries who enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.,"260,747","147,374",--,--,--,--,--,--,270,--,2017
Iowa,,"80,426","58,963",--,--,--,--,0,920,328,--,2017
Alabama,,"214,494",--,0,--,--,--,--,--,153,0,2017
Michigan7,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,"316,224","37,397",--,--,"10,706",0,0,--,"1,954",--,2017
Vermont10,"Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","33,907",283,--,--,--,--,--,--,--,--,2017
Maine,,"92,517",--,0,--,--,--,--,"51,543",--,--,2017
North Dakota,,"14,721",0,0,--,--,--,--,--,152,0,2017
Florida,,"788,226","130,527",--,--,"90,458",--,--,--,118,--,2017
Arkansas,,"144,706",,0,--,--,--,--,"52,789",0,--,2017
New Jersey,,"217,365","173,988",--,--,--,--,--,"173,270",862,--,2017
West Virginia,,"81,596",0,--,--,--,--,--,--,--,--,2017
Minnesota,,"141,361","78,781",--,--,--,--,--,--,--,--,2017
Puerto Rico,,"337,516","337,516",--,--,--,--,--,--,--,--,2017
TOTALS,,"10,304,417","2,982,307","115,388","222,913","364,682","417,918","331,798","1,090,467","39,005",400,2018
Alabama,,"213,678",--,0,--,--,--,--,--,149,0,2018
Alaska,,n/a,--,--,--,--,--,--,--,--,--,2018
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018
Arizona,,"220,474","149,900",--,--,--,--,--,--,--,--,2018
Arkansas,,"134,914",--,589,"2,763",--,--,"53,473","67,099",248,--,2018
California,,"1,343,891","962,791",--,--,--,0,"53,499",--,"6,068",339,2018
Colorado4,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaires. As a result, reported PACE program-level enrollment may be lower than actual enrollment.","120,127","7,858",--,"68,703",--,0,--,--,"3,646",--,2018
Connecticut,,n/a,--,--,--,--,--,--,--,--,--,2018
Delaware,,"30,631","6,125",--,--,--,--,--,"6,125",232,--,2018
District of Columbia,,"35,425",878,--,--,--,--,--,"22,707",--,--,2018
Florida,,"822,125","122,704",--,--,"93,529",--,--,--,682,--,2018
"Georgia5,6","Georgia is unable to provide separate counts of Medicaid-only and dually eligible beneficiaires for their NEMT program. As a result, Medicare-Medicaid beneficiary enrollment is reported here as zero. The total number of dually eligible beneficiaries reported for Georgia only includes beneficiaries in the QMB, SLMB, and QI programs.","218,337",427,--,--,--,--,--,0,--,0,2018
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018
Hawaii,,"34,596","34,596",--,--,--,--,--,--,--,--,2018
Idaho,,"47,547","3,799",--,--,--,"23,425","27,240","27,240",--,--,2018
Illinois,,"365,802",0,--,--,"31,143",--,--,--,--,--,2018
Indiana,,"211,716","3,976",--,--,--,--,--,--,283,--,2018
Iowa,,"80,715","58,490",--,--,--,--,"58,547","1,275",409,--,2018
Kansas,,"83,104","38,694",--,--,--,--,--,--,0,--,2018
Kentucky,,"152,336","55,918",--,--,--,--,--,0,--,--,2018
Louisiana,,"228,848",668,--,--,--,"103,234","104,724",,443,--,2018
Maine,,"92,256",--,0,--,--,--,--,"51,453",--,--,2018
Maryland,,"145,359",0,--,--,--,--,--,--,93,--,2018
Massachusetts,,"357,507","51,401",0,0,--,0,--,--,"4,202",--,2018
Michigan7,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan. ,"327,697","39,166",--,--,"10,587",0,0,--,"2,429",--,2018
Minnesota,,"142,348","81,117",--,--,--,--,--,--,--,--,2018
Mississippi,,"161,017",0,--,--,--,--,--,--,--,--,2018
Missouri,,"181,861",0,--,--,--,--,--,"143,578",--,--,2018
Montana,,"28,634",--,0,--,--,--,--,--,--,--,2018
Nebraska,,"34,773","34,286",--,--,--,--,"34,246",--,168,--,2018
Nevada,,"74,484",0,--,--,--,--,0,0,--,--,2018
New Hampshire,,"31,816","16,321",--,--,--,--,--,--,--,--,2018
New Jersey,,"221,266","179,446",--,--,--,--,--,"37,445",956,--,2018
New Mexico,,"42,041","41,300",--,--,--,--,--,--,741,--,2018
New York,,"939,913","17,284",--,--,"189,890",--,--,--,"5,093",--,2018
North Carolina,,"345,703",--,--,"151,447",--,"187,117",--,--,680,--,2018
North Dakota,,"16,909",0,0,--,--,--,--,--,169,0,2018
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018
Ohio,,"237,185","53,408",--,--,--,--,--,--,359,--,2018
Oklahoma,,"114,799",--,"114,799",--,--,--,--,"114,799",432,--,2018
Oregon8," OregonÕs enrollment in comprehensive MCOs includes beneficiaries in (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), or (3) a Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously. Plan-level enrollment is found in Report 5. ","76,067","52,057",--,--,--,--,--,,"1,317",--,2018
Pennsylvania,,"468,987","83,728",--,--,--,"73,364",--,"75,251","6,219",61,2018
Puerto Rico,,"360,506","295,878",--,--,--,--,--,--,--,--,2018
Rhode Island,,"35,733",0,--,--,--,--,0,0,0,--,2018
South Carolina,,"161,803",0,0,--,--,--,--,"161,803",391,--,2018
South Dakota,,"12,188",--,0,--,--,--,--,--,--,--,2018
Tennessee9,TennesseeÕs enrollment in comprehensive MCOs includes 381 dually eligible beneficiaries who are also enrolled in an MCO plus Magellan Health Services for pharmacy benefits and 381 dually eligible beneficiaries who are also enrolled in an MCO plus DentaQuest USA Insurance Company for dental services. ,"268,671","145,785",--,--,--,--,--,--,267,--,2018
Texas,,"649,495","293,046",--,--,--,--,0,"354,597","1,173",--,2018
Utah,,"31,555","24,238",--,--,--,"30,775",69,"27,095",--,--,2018
Vermont10," Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health Demonstration are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","32,036",760,--,--,--,--,--,--,--,--,2018
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2018
Virginia,,"108,805","108,805",--,--,--,--,--,--,"1,481",--,2018
Washington11,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH comprehensive MCO, and PACE programs. As a result, enrollment counts for Medicare-Medicaid beneficiaries are excluded from this report. ","108,589",0,0,--,--,0,--,0,0,--,2018
West Virginia,,"81,548",0,--,--,--,--,--,--,--,--,2018
Wisconsin,,"57,536","17,457",--,--,"39,533",3,--,--,543,0,2018
Wyoming,,"11,064",--,--,--,--,--,--,--,132,0,2018
TOTALS,,"10,449,224","3,212,068","14,598","239,252","418,028","702,906","588,815","1,261,683","45,581",379,2019
Alabama,,"216,053",--,0,"23,861",--,--,--,--,149,0,2019
Alaska,,n/a,--,--,--,--,--,--,--,--,--,2019
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
Arizona,,"227,103","154,194",--,--,--,--,--,--,--,--,2019
Arkansas,,"137,831","5,846","2,227",--,--,--,"54,316","47,475",350,--,2019
California,,"1,353,749","972,923",--,--,--,0,"53,836",--,"7,030",302,2019
Colorado4,"Colorado reported plan level enrollment as 0 for plans that had less than 30 beneficiaries. As a result, reported program-level enrollment may be lower than actual enrollment.","118,286","8,516",--,"68,803",--,--,--,--,"4,175",--,2019
Connecticut,,n/a,--,--,--,--,--,--,--,--,--,2019
Delaware,,"30,924","13,452",--,--,--,--,--,"14,862",249,--,2019
District of Columbia,,"35,541","1,123",--,--,--,--,--,"22,456",--,--,2019
Florida,,"829,880","101,989",--,--,"101,236",--,"208,495",--,"1,885",--,2019
Georgia5,"Georgia did not monitor NEMT program enrollment in 2019, so dual-eligible enrollment iin transportation programs is reported here as zero.","173,096",0,--,--,--,--,--,0,--,0,2019
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
Hawaii,,"33,437","33,437",--,--,--,--,--,--,--,--,2019
Idaho,,"48,617","12,230","12,371",--,--,"15,542","27,744","27,744",--,--,2019
Illinois,,"373,171",0,--,--,"52,450",--,--,--,--,--,2019
Indiana,,"217,684","3,617",--,--,--,--,--,--,384,--,2019
Iowa,,"86,344","65,207",--,--,--,--,"65,117",725,530,--,2019
Kansas,,"82,687","38,776",--,--,--,--,--,--,0,--,2019
Kentucky,,"151,720","53,941",--,--,--,--,--,0,--,--,2019
Louisiana,,"230,587",819,--,--,--,"118,724","123,920",--,462,--,2019
Maine,,"91,833",--,0,--,--,--,--,"50,154",--,--,2019
Maryland,,"148,036",0,--,--,--,--,--,--,92,--,2019
Massachusetts,,"361,831","56,460",0,0,--,0,--,--,"4,553",--,2019
Michigan6,"Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan. As a result, reported dual-eligible enrollment in BHO programs is reported here as zero. ","324,782","41,831",--,--,"10,683",0,0,--,"3,053",--,2019
Minnesota,,"142,474","82,181",--,--,--,--,--,--,--,--,2019
Mississippi,,"161,363",0,--,--,--,--,--,--,--,--,2019
Missouri,,"182,883",0,--,--,--,--,--,"143,735",--,--,2019
Montana,,"29,030",--,0,--,--,--,--,--,--,--,2019
Nebraska,,"35,058","34,583",--,--,--,--,"34,555",--,188,--,2019
Nevada,,"78,641",0,--,--,--,--,0,0,--,--,2019
New Hampshire,,"31,704","16,866",--,--,--,--,--,--,--,--,2019
New Jersey,,"222,768","181,966",--,--,--,--,--,"180,945","1,034",--,2019
New Mexico,,"40,824","40,824",--,--,--,--,--,--,732,--,2019
New York,,"965,396","21,163",--,--,"213,221",--,--,--,"5,167",--,2019
North Carolina,,"348,227",--,--,"146,588",--,"181,322",--,--,"2,188",--,2019
North Dakota,,"15,956",0,0,--,--,--,--,--,171,--,2019
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
Ohio,,"245,800","60,788",--,--,--,--,--,--,445,--,2019
Oklahoma,,"116,025",--,0,--,--,--,--,"116,025",483,--,2019
Oregon7,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Managed Dental Care of Oregon; ODS Community Health, Inc.; and Family Dental Care, or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","77,545","54,116",--,--,--,--,--,--,"1,403",--,2019
Pennsylvania,,"491,909","229,066",--,--,--,"356,550",--,"77,770","6,793",77,2019
Puerto Rico,,"328,980","328,980",--,--,--,--,--,--,--,--,2019
Rhode Island,,"47,085",0,--,--,--,--,0,"36,831",320,--,2019
South Carolina,,"162,309",0,0,--,--,--,--,"162,309",374,--,2019
South Dakota,,"12,202",--,0,--,--,--,--,--,--,--,2019
Tennessee,,"274,779","147,455",--,--,--,--,--,--,269,--,2019
Texas,,"653,629","293,758",--,--,--,--,0,"353,546","1,129",--,2019
Utah,,"31,574","24,239",--,--,--,"30,766","20,832","27,106",--,--,2019
Vermont8,"The Department of Vermont Health Access, a state agency, acts as Vermont's single MCO entity. This program is classified as a “Comprehensive MCO + MLTSS” program but is considered by CMS and the state to be a “Comprehensive non-risk PIHP” program. Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health Demonstration are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","31,491",445,--,--,--,--,--,--,--,--,2019
Virgin Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
Virginia,,"190,867","113,201",--,--,--,--,--,--,"1,319",--,2019
Washington,,"105,198",0,0,--,--,0,--,0,0,0,2019
West Virginia,,"81,865",0,--,--,--,--,--,--,--,--,2019
Wisconsin,,"59,037","18,076",--,--,"40,438",2,--,--,521,0,2019
Wyoming,,"11,413",--,--,--,--,--,--,--,133,--,2019
TOTALS,,"11,253,390","3,325,565","123,729","247,668","440,257","734,110","479,318","1,373,246","46,310",86,2020
Alabama,,"218,182",--,--,"18,553",--,--,--,--,145,--,2020
Alaska,,n/a,--,--,--,--,--,--,--,--,--,2020
American Samoa,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
Arizona,,"236,810","162,619",--,--,--,--,--,--,--,--,2020
Arkansas,,"140,326","5,750",--,"1,610",--,--,"53,629","56,654",331,--,2020
California,,"1,379,410","892,712",--,--,--,0,"55,757",--,"7,530",--,2020
Colorado4,"Colorado did not provide enrollment counts for plans with less than 30 beneficiaries. As a result, PACE program-level enrollment may be lower than actual enrollment.","123,691","9,709",--,"72,636",--,--,--,--,"4,468",--,2020
Connecticut,,n/a,--,--,--,--,--,--,--,--,--,2020
Delaware,,"30,994","13,908",--,--,--,--,--,"15,394",241,--,2020
District of Columbia,,"36,247","1,079",--,--,--,--,--,"23,193",--,--,2020
Florida,,"1,316,856","101,961",--,--,"109,875",--,"218,322",--,"2,148",--,2020
Georgia5,"Georgia is unable to provide separate counts of Medicaid-only and dually eligible beneficiaries for their NEMT program. As a result, Medicare-Medicaid beneficiary enrollment is reported here as zero.","349,193",0,--,--,--,--,--,0,--,0,2020
Guam,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
Hawaii,,"36,719","36,719",--,--,--,--,--,--,--,--,2020
Idaho,,"50,739","25,711","4,437",--,--,"6,103","28,449","28,449",--,--,2020
Illinois,,"387,780",0,--,--,"56,910",--,--,--,--,--,2020
Indiana6,"The dually eligible enrollees shown in the enrollment counts for Healthy Indiana, Hoosier Healthwise, and Hoosier Care Connect are Medicaid managed care enrollees who gained Medicare eligibility during the public health emergency and, due to maintenance of effort requirements, remained in their existing Medicaid managed care plan.","226,813","4,990",--,--,--,--,--,--,423,--,2020
Iowa,,"88,700","66,954",--,--,--,--,"67,234",779,558,--,2020
Kansas,,"85,381","42,450",--,--,--,--,--,--,0,--,2020
Kentucky,,"103,806","69,622",--,--,--,--,--,"70,922",--,--,2020
Louisiana,,"230,998",230,--,--,--,"125,376",0,--,452,--,2020
Maine,,"93,127",--,0,--,--,--,--,"51,041",--,--,2020
Maryland,,"150,332",0,--,--,--,--,--,--,108,--,2020
Massachusetts,,"358,851","59,914",0,0,--,0,--,--,"4,635",--,2020
Michigan7,"Michigan updated their reporting methodology in 2020 to more accurately calculate overall Medicaid and managed care enrollment, resulting in a significant decrease in enrollment counts between 2019 and 2020.","328,585","41,168",--,--,"11,098",0,0,--,"3,397",--,2020
Minnesota,,"128,357","34,204",--,--,--,--,--,--,--,--,2020
Mississippi,,"162,695",0,--,--,--,--,--,--,--,--,2020
Missouri,,"193,089",0,--,--,--,--,--,"158,232",--,--,2020
Montana,,"30,000",--,0,--,--,--,--,--,--,--,2020
Nebraska,,"35,888","35,280",--,--,--,--,"35,246",--,193,--,2020
Nevada,,"81,465",0,--,--,--,--,0,0,--,--,2020
New Hampshire,,"33,062","17,756",--,--,--,--,--,--,--,--,2020
New Jersey,,"197,043","183,547",--,--,--,--,--,"183,649","1,020",--,2020
New Mexico,,"42,542","42,542",--,--,--,--,--,--,794,--,2020
New York,,"974,235","24,853",--,--,"220,910",--,--,--,"4,941",--,2020
North Carolina,,"359,965",--,--,"154,869",--,"178,758",--,--,"2,090",--,2020
North Dakota,,"15,956",0,0,--,--,--,--,--,164,--,2020
Northern Mariana Islands,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2020
Ohio,,"251,412","64,111",--,--,--,--,--,--,517,--,2020
Oklahoma,,"119,292",--,"119,292",--,--,--,--,"119,292",569,--,2020
Oregon8,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs), (2) Dental Care Organizations (DCOs), and (3) the Mental Health Organization. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.","76,417","76,417",--,--,--,--,--,--,"1,536",--,2020
Pennsylvania,,"492,575","367,361",--,--,--,"392,716",--,"80,739","6,701",86,2020
Puerto Rico,,"384,146","325,508",--,--,--,--,--,--,--,--,2020
Rhode Island9, The number of Medicare-Medicaid dual eligible enrollees decreased 72 percent from 2019 due to discontinuation of the Rhode Health Options (RHO) program and transition of those enrollees either into fee-for-service or Rhody Health Partners.,"37,111",0,--,--,--,--,0,"37,111",0,--,2020
South Carolina,,"164,438",0,0,--,--,--,--,"164,438",320,--,2020
South Dakota,,"18,628",--,0,--,--,--,--,--,--,--,2020
Tennessee10,Tennessee’s enrollment in comprehensive MCOs includes 364 dually eligible beneficiaries who were also enrolled in OptumRx for pharmacy benefits and 364 dually eligible beneficiaries who are also enrolled in an MCO plus DentaQuest USA Insurance Company for dental services.,"270,830","153,180",--,--,--,--,--,--,260,--,2020
Texas,,"672,073","300,437",--,--,--,--,0,"356,258","1,135",--,2020
Utah,,"32,026","24,234",--,--,--,"31,155","20,681","27,095",--,--,2020
Vermont11,"Vermont pays for Medicaid services for dually eligible enrollees on a FFS basis. Dually eligible enrollees reported in the Global Commitment to Health Demonstration are Medicaid enrollees who have become newly eligible for Medicare and, as of July 1, have not yet transferred out of the program.","32,211",552,--,--,--,--,--,--,--,--,2020
